Feature,Modality,Mean_Abs_SHAP
Right-Caudate,MRI,0.004011
PAN3,Gene,0.003896
lh_MeanThickness_thickness,MRI,0.003625
ATP6V0E1,Gene,0.003531
H3-3B,Gene,0.003476
TotalGrayVol,MRI,0.003235
PPP1CB,Gene,0.003029
CAPZA2,Gene,0.00292
ATP5F1C,Gene,0.002686
lh_parsopercularis_thickness,MRI,0.002461
lh_superiorparietal_thickness,MRI,0.001814
VNN2,Gene,0.001737
lh_lingual_thickness,MRI,0.001647
rh_bankssts_thickness,MRI,0.000703
TMBIM4,Gene,0.000659
PELI2,Gene,8.4e-05
lh_frontalpole_thickness,MRI,7.7e-05
Left-non-WM-hypointensities,MRI,0.0
Right-WM-hypointensities,MRI,0.0
Right-non-WM-hypointensities,MRI,0.0
Left-WM-hypointensities,MRI,0.0
